"Date","Price","Open","High","Low","Change %"
"Jun 20, 2017","45.620","47.630","48.360","43.010","-4.22"
"Jun 19, 2017","47.630","43.660","49.970","42.360","9.54"
"Jun 18, 2017","43.480","46.020","46.260","39.590","-5.52"
"Jun 17, 2017","46.020","33.890","48.580","33.890","36.03"
"Jun 16, 2017","33.830","28.990","33.850","27.700","16.74"
"Jun 15, 2017","28.980","28.820","29.390","24.450","0.56"
"Jun 14, 2017","28.820","30.320","31.980","27.670","-4.95"
"Jun 13, 2017","30.320","28.910","30.620","28.710","4.88"
"Jun 12, 2017","28.910","34.020","34.040","27.000","-14.82"
"Jun 11, 2017","33.940","30.160","35.320","29.530","12.61"
"Jun 10, 2017","30.140","29.550","30.150","29.240","1.96"
"Jun 09, 2017","29.560","30.080","30.900","29.540","-1.73"
"Jun 08, 2017","30.080","28.710","30.790","28.030","4.77"
"Jun 07, 2017","28.710","30.160","30.790","27.850","-4.81"
"Jun 06, 2017","30.160","30.700","31.290","28.280","-1.76"
"Jun 05, 2017","30.700","27.790","31.800","27.780","10.71"
"Jun 04, 2017","27.730","27.400","27.900","26.800","1.20"
"Jun 03, 2017","27.400","27.840","28.300","26.800","-1.58"
"Jun 02, 2017","27.840","27.720","28.950","26.700","0.94"
"Jun 01, 2017","27.580","25.880","29.930","25.880","6.57"
"May 31, 2017","25.880","24.100","26.150","23.800","7.39"
"May 30, 2017","24.100","25.780","26.500","23.710","-6.52"
"May 29, 2017","25.780","24.790","26.710","23.740","4.04"
"May 28, 2017","24.780","23.450","26.800","23.120","5.67"
"May 27, 2017","23.450","25.900","26.940","19.150","-9.46"
"May 26, 2017","25.900","29.530","32.000","24.380","-12.29"
"May 25, 2017","29.530","34.280","35.410","26.480","-4.93"
"May 24, 2017","31.060","34.310","35.880","30.250","25.70"
"May 23, 2017","24.710","31.060","31.780","24.450","-4.67"
"May 22, 2017","25.920","24.710","26.990","22.500","-5.19"
"May 21, 2017","27.340","25.920","28.680","25.440","-0.76"
"May 20, 2017","27.550","27.340","27.940","26.850","-3.60"
"May 19, 2017","28.580","27.550","28.650","26.320","12.96"
"May 18, 2017","25.300","28.580","29.410","24.630","7.20"
"May 17, 2017","23.600","25.300","26.500","20.310","-7.85"
"May 16, 2017","25.610","23.600","25.780","21.000","-11.38"
"May 15, 2017","28.900","25.610","29.110","25.270","-0.65"
"May 14, 2017","29.090","28.900","30.600","27.750","6.91"
"May 13, 2017","27.210","29.090","29.210","25.040","-11.34"
"May 12, 2017","30.690","27.210","31.590","25.060","-6.58"
"May 11, 2017","32.850","30.690","33.350","28.310","-1.05"
"May 10, 2017","33.200","32.850","38.910","30.010","15.04"
"May 09, 2017","28.860","33.200","34.000","22.670","-5.75"
"May 08, 2017","30.620","28.860","30.620","28.040","7.70"
"May 07, 2017","28.430","30.620","32.300","28.430","7.98"
"May 06, 2017","26.330","28.430","28.880","26.310","8.98"
"May 05, 2017","24.160","26.330","28.690","24.030","9.77"
"May 04, 2017","22.010","24.160","29.750","21.800","35.53"
"May 03, 2017","16.240","22.010","36.000","15.990","-1.40"
"May 02, 2017","16.470","16.240","16.620","15.500","1.67"
"May 01, 2017","16.200","16.470","17.300","15.550","-0.86"
"Apr 30, 2017","16.340","16.200","16.740","15.800","10.78"
"Apr 29, 2017","14.750","16.340","16.400","14.730","-1.54"
"Apr 28, 2017","14.980","14.750","15.120","14.500","-0.73"
"Apr 27, 2017","15.090","14.980","15.510","13.470","-2.83"
"Apr 26, 2017","15.530","15.090","16.170","14.690","3.05"
"Apr 25, 2017","15.070","15.530","15.730","14.510","-2.02"
"Apr 24, 2017","15.380","15.070","15.410","14.300","7.18"
"Apr 23, 2017","14.350","15.380","16.000","14.200","18.40"
"Apr 22, 2017","12.120","14.350","16.000","12.030","10.28"
"Apr 21, 2017","10.990","12.120","12.450","10.850","7.64"
"Apr 20, 2017","10.210","10.990","11.400","10.150","-6.76"
"Apr 19, 2017","10.950","10.210","11.000","10.010","-1.79"
"Apr 18, 2017","11.150","10.950","11.500","10.270","-4.70"
"Apr 17, 2017","11.700","11.150","12.600","10.950","0.09"
"Apr 16, 2017","11.690","11.700","11.870","11.570","0.69"
"Apr 15, 2017","11.610","11.690","12.140","10.460","5.07"
"Apr 14, 2017","11.050","11.610","11.840","11.030","-5.47"
"Apr 13, 2017","11.690","11.050","11.740","10.630","20.39"
"Apr 12, 2017","9.710","11.690","12.230","9.660","-1.62"
"Apr 11, 2017","9.870","9.710","10.350","9.450","6.59"
"Apr 10, 2017","9.260","9.870","10.120","8.890","-14.18"
"Apr 09, 2017","10.790","9.260","10.990","8.570","9.10"
"Apr 08, 2017","9.890","10.790","11.390","9.830","-9.02"
"Apr 07, 2017","10.870","9.890","11.390","9.390","-16.38"
"Apr 06, 2017","13.000","10.870","13.190","9.700","42.08"
"Apr 05, 2017","9.150","13.000","13.750","8.880","6.27"
"Apr 04, 2017","8.610","9.150","9.780","8.350","3.24"
"Apr 03, 2017","8.340","8.610","9.500","7.500","9.59"
"Apr 02, 2017","7.610","8.340","8.880","7.030","4.97"
"Apr 01, 2017","7.250","7.610","7.730","6.650","-8.11"
"Mar 31, 2017","7.890","7.250","7.900","5.750","83.49"
"Mar 30, 2017","4.300","7.890","9.900","4.260","2.38"
"Mar 29, 2017","4.200","4.300","4.500","4.120","2.94"
"Mar 28, 2017","4.080","4.200","4.220","4.070","-0.49"
"Mar 27, 2017","4.100","4.080","4.190","4.030","0.24"
"Mar 26, 2017","4.090","4.100","4.120","4.040","-0.49"
"Mar 25, 2017","4.110","4.090","4.180","3.970","3.79"
"Mar 24, 2017","3.960","4.110","4.500","3.930","0.51"
"Mar 23, 2017","3.940","3.960","4.030","3.900","-2.48"
"Mar 22, 2017","4.040","3.940","4.050","3.810","-3.35"
"Mar 21, 2017","4.180","4.040","4.200","3.950","6.36"
"Mar 20, 2017","3.930","4.180","4.200","3.850","-2.24"
"Mar 19, 2017","4.020","3.930","4.120","3.850","-2.43"
